HomeTeam,AwayTeam
Chelsea,Tottenham
Everton,Newcastle
Southampton,Wolves
Birmingham,Fulham
Man City,Aston Villa
Leicester,Leeds
Aston Villa,Charlton
Fulham,Man City
Leeds,Birmingham
Liverpool,Leicester
Newcastle,Bolton
Portsmouth,Blackburn
Tottenham,Southampton
Wolves,Chelsea
Man United,Arsenal
Middlesbrough,Everton
Arsenal,Newcastle
Birmingham,Portsmouth
Bolton,Wolves
Chelsea,Aston Villa
Leicester,Man United
Southampton,Middlesbrough
Blackburn,Fulham
Charlton,Liverpool
Everton,Leeds
Man City,Tottenham
Fulham,Leicester
Leeds,Blackburn
Liverpool,Arsenal
Man United,Birmingham
Newcastle,Southampton
Portsmouth,Charlton
Tottenham,Everton
Wolves,Man City
Aston Villa,Bolton
Middlesbrough,Chelsea
Birmingham,Chelsea
Arsenal,Chelsea
Fulham,Wolves
Leeds,Man United
Man City,Bolton
Middlesbrough,Newcastle
Portsmouth,Liverpool
Birmingham,Aston Villa
Everton,Southampton
Leicester,Tottenham
Blackburn,Charlton
Fulham,Newcastle
Aston Villa,Everton
Bolton,Birmingham
Chelsea,Man City
Liverpool,Leeds
Man United,Fulham
Newcastle,Portsmouth
Southampton,Blackburn
Wolves,Leicester
Charlton,Arsenal
Tottenham,Middlesbrough
Everton,Chelsea
Leeds,Arsenal
Man United,Portsmouth
Middlesbrough,Wolves
Newcastle,Aston Villa
Southampton,Man City
Tottenham,Bolton
Fulham,Liverpool
Leicester,Blackburn
Birmingham,Charlton
Arsenal,Tottenham
Aston Villa,Middlesbrough
Bolton,Southampton
Charlton,Fulham
Portsmouth,Leeds
Wolves,Birmingham
Chelsea,Newcastle
Liverpool,Man United
Man City,Leicester
Blackburn,Everton
Birmingham,Arsenal
Everton,Wolves
Leeds,Bolton
Leicester,Charlton
Man United,Blackburn
Middlesbrough,Liverpool
Newcastle,Man City
Southampton,Chelsea
Tottenham,Aston Villa
Fulham,Portsmouth
Aston Villa,Southampton
Blackburn,Tottenham
Bolton,Everton
Charlton,Leeds
Portsmouth,Leicester
